date,pollster,sample_size,BJP,INC,AAP,Others,days_ago,weight_time,weight_sample,weight_total
2024-04-01,Axis My India,1082,38.95491009674586,28.726316055411825,10.867826161054785,25.577766147660135,14,0.49658530379140947,32.89376840679705,16.334561977133582
2024-04-08,Axis My India,1420,37.32725729400381,26.660044103186134,11.134648430598087,22.812741282947748,7,0.7046880897187134,37.68288736283355,26.55468191080062
2024-04-15,Axis My India,1316,38.07689545833703,28.679220824286144,10.993876628848549,24.660784905223096,0,1,36.27671429443411,36.27671429443411
2024-02-05,Lokniti-CSDS,1011,40.17268052934639,26.30393995921938,9.531149661689613,21.660791388071495,70,0.0301973834223185,31.796226191169293,0.9601628336775049
2024-02-12,Lokniti-CSDS,1058,38.43398950964796,25.577141629192404,15.1680921358981,21.806971730378,63,0.042852126867040166,32.526911934581186,1.393847356813716
2024-02-19,Lokniti-CSDS,1113,33.243655359480336,26.178484407689034,10.574647292282489,20.614799175732944,56,0.06081006262521795,33.361654635224554,2.028724307648898
2024-02-26,Lokniti-CSDS,1280,38.97209590670244,28.925194560132734,8.877530967483937,25.2470559788918,49,0.0862935864993705,35.77708763999664,3.087333206957609
2024-03-04,Lokniti-CSDS,1097,37.32185555543932,28.0643563461396,9.171353854055432,20.648091500282774,42,0.1224564282529819,33.12099032335839,4.055878175200045
2024-03-11,Lokniti-CSDS,823,37.6407404474628,27.78417488732685,12.926978459563756,23.929609864139312,35,0.17377394345044514,28.687976575562104,4.985222819149424
2024-03-18,Lokniti-CSDS,957,36.944898178352645,27.782383006065285,11.567140230037973,22.387443509350057,28,0.24659696394160643,30.93541659651604,7.628579810969638
2024-03-25,Lokniti-CSDS,1098,38.9249897061203,27.942037062124793,9.98681471997256,21.62629303961564,21,0.3499377491111553,33.13608305156178,11.595566317423833
2024-04-01,Lokniti-CSDS,1205,37.16113274528772,27.033547804236353,12.391557366644651,23.864891145719405,14,0.49658530379140947,34.713109915419565,17.238020232893213
2024-04-08,Lokniti-CSDS,1113,37.840076315447526,28.577477911164102,9.232473440370091,25.192808334185155,7,0.7046880897187134,33.361654635224554,23.509560674751853
2024-04-15,Lokniti-CSDS,1447,37.1004290773225,25.679725448576043,11.79090943438273,20.452088401542134,0,1,38.03945320322047,38.03945320322047
2024-02-05,People's Insight,1091,40.67198704725412,28.484031103676127,12.329784592840822,22.09327131669052,70,0.0301973834223185,33.03028912982749,0.9974283054034395
2024-02-12,People's Insight,945,38.89438270091634,26.435563865156464,15.220466724523568,20.88935407050771,63,0.042852126867040166,30.740852297878796,1.3173109026696455
2024-02-19,People's Insight,1420,38.393524586781496,28.861674359793092,11.501186791859386,21.965218927561025,56,0.06081006262521795,37.68288736283355,2.2914987404329423
2024-02-26,People's Insight,1147,40.29978962469975,25.578397063972844,12.243295217117875,23.98323929932426,49,0.0862935864993705,33.8673884437522,2.9225384141787107
2024-03-04,People's Insight,996,38.30215297897008,29.651966711333927,16.060285260092822,19.847031915854952,42,0.1224564282529819,31.559467676119,3.8646596891829677
2024-03-11,People's Insight,1315,36.18951978807207,28.37599166632321,11.016915292786418,22.049789011229112,35,0.17377394345044514,36.26292872893749,6.301552126289906
2024-03-18,People's Insight,1025,38.472477408902776,25.65783688671842,15.21929621015088,21.692444557734923,28,0.24659696394160643,32.01562118716424,7.894954983459272
2024-03-25,People's Insight,1303,35.895057733352346,25.967751082562405,13.591035649761691,20.1440436296353,21,0.3499377491111553,36.09709129556009,12.631734877428176
2024-04-01,People's Insight,1154,39.15509157413128,25.50227411514059,16.53594870297994,21.057838154409353,14,0.49658530379140947,33.97057550292606,16.86928855608955
2024-04-08,People's Insight,1526,39.3572912575662,23.839137903538212,12.59576733458097,21.564996295379647,7,0.7046880897187134,39.06404996924922,27.527970749506597
2024-04-15,People's Insight,1044,40.39352605244012,28.286128436255353,12.12487624679884,22.308806731739356,0,1,32.31098884280702,32.31098884280702
